CaseOrder,StateId,State,CountyId,County,Population,AreaId,Area,TimeZoneId,TimeZone,Children,Age,GenerationId,Generation,Income,MaritalId,Marital,GenderId,Gender,Churn,Outage_sec_perweek,Outage_sec_perweek2,Email,Contacts,Yearly_equip_failure,Techie,Techie2,ContractId,Contract,Port_modem,Port_modem2,Tablet,Tablet2,Tablet3,InternetService,InternetService2,Phone,Phone2,Multiple,Multiple2,OnlineSecurity,OnlineSecurity2,OnlineBackup,OnlineBackup2,DeviceProtection,DeviceProtection2,TechSupport,TechSupport2,StreamingTV,StreamingTV2,StreamingMovies,StreamingMovies2,PaperlessBilling,PaperlessBilling2,PaymentMethodId,PaymentMethod,Tenure,Tenure2,MonthlyCharge,MonthlyCharge2,Bandwidth_GB_Year,Bandwidth_GB_Year2,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8
459,19,FL,291,Broward,25854,2,Suburban,90,America/New_York,1,36,4,Millennials,10466.23,3,Separated,0,Female,No,7.6,7.565105658,10,0,0,0,No,0,Month-to-month,0,No,0,No,,None,None,1,Yes,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,1,Yes,10,Electronic Check,5.4,5.440398012,112.48,112.484375,590,589.9932647,3,4,3,4,4,3,4,4
460,38,ND,1326,Richland,90,2,Suburban,76,America/Chicago,0,87,5,Post War,20197.89,0,Divorced,0,Female,No,7.9,7.940679007,14,1,1,0,No,0,Month-to-month,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,Bank Transfer(automatic),11.9,11.92300936,179.97,179.965581,1021.5,1021.482609,4,4,5,4,3,5,4,5
461,25,IN,1241,Pike,3191,3,Rural,82,America/Indiana/Petersburg,2,80,5,Post War,99482.26,3,Separated,0,Female,Yes,12.9,12.94031641,12,2,0,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,0,Bank Transfer(automatic),9.5,9.461939857,252.62,252.62403,1267.6,1267.634616,4,4,3,4,5,3,3,2
462,32,MI,1351,Roscommon,37,3,Rural,78,America/Detroit,0,34,4,Millennials,48005.75,0,Divorced,0,Female,No,7.8,7.794425904,9,2,0,0,No,2,Two Year,0,No,0,No,,None,None,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No,0,Bank Transfer(automatic),13.9,13.90000955,95.01,95.005709,1266.5,1266.503765,2,3,2,3,3,4,1,4
463,58,WA,953,Lincoln,714,3,Rural,88,America/Los_Angeles,4,39,4,Millennials,50666.54,4,Widowed,1,Male,Yes,4.9,4.88644359,6,0,2,1,Yes,1,One year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,0,No,0,No,1,Yes,1,Yes,0,No,1,Credit Card (automatic),14,13.99579075,240.11,240.114868,1877.9,1877.852717,3,4,3,4,4,4,4,4
464,19,FL,767,Hillsborough,31791,3,Rural,90,America/New_York,8,42,2,GerX,6117.38,3,Separated,1,Male,No,10.8,10.84392109,17,1,0,0,No,0,Month-to-month,0,No,0,No,,None,None,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,0,No,0,No,0,No,1,Credit Card (automatic),13.4,13.44056701,105.01,105.010962,1541.1,1541.134986,3,4,2,4,3,3,5,4
465,20,GA,1343,Rockdale,34928,2,Suburban,90,America/New_York,4,36,4,Millennials,7953.27,1,Married,1,Male,No,9.9,9.879617841,10,2,1,1,Yes,2,Two Year,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,1,Credit Card (automatic),3.2,3.179043613,182.45,182.45383,744.2,744.2470872,3,4,2,4,2,3,3,2
466,29,MA,1051,Middlesex,17576,3,Rural,90,America/New_York,0,18,3,GerZ,101000.3,2,Never Married,1,Male,Yes,11.3,11.26553266,10,0,1,0,No,0,Month-to-month,0,No,0,No,,#N/A,DSL,1,Yes,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,10,Electronic Check,14.6,14.58066686,149.94,149.944668,2023.5,2023.519366,5,5,4,2,5,4,3,3
467,34,MO,425,Cole,746,1,Urban,76,America/Chicago,0,66,1,Boomers,10882.02,0,Divorced,0,Female,No,13.3,13.28523257,9,3,0,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,0,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,1,Yes,11,Mailed Check,17.2,17.24908083,144.96,144.960655,1428.4,1428.427469,5,5,5,3,3,4,5,5
468,37,NC,353,Catawba,27479,3,Rural,90,America/New_York,3,20,3,GerZ,69156.25,3,Separated,0,Female,Yes,15.6,15.62909771,15,0,0,0,No,2,Two Year,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,10,Electronic Check,2.8,2.760467902,187.61,187.609354,1283.3,1283.253595,4,4,4,4,4,4,4,4
469,54,TX,277,Brazoria,49612,2,Suburban,76,America/Chicago,0,73,1,Boomers,19563.77,1,Married,0,Female,No,11.3,11.31172944,16,0,1,0,No,1,One year,0,No,1,Yes,,#N/A,DSL,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,10,Electronic Check,20,20.04140358,129.96,129.962093,2256.8,2256.776479,4,4,4,3,4,3,3,3
470,44,NY,1108,Nassau,7286,1,Urban,90,America/New_York,0,83,5,Post War,27113,0,Divorced,1,Male,No,11.1,11.06959212,11,0,0,0,No,1,One year,0,No,1,Yes,,None,None,1,Yes,0,No,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,0,No,1,Credit Card (automatic),8,8.001673351,129.98,129.976324,955.1,955.0876357,3,3,4,3,4,4,3,3
471,36,MT,1597,Valley,489,3,Rural,77,America/Denver,2,67,1,Boomers,156740.67,1,Married,1,Male,Yes,13.5,13.45818264,13,1,0,0,No,0,Month-to-month,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,Bank Transfer(automatic),1.1,1.092219692,192.44,192.440432,499.7,499.7170655,3,4,4,3,4,3,2,3
472,35,MS,1510,Sunflower,73,2,Suburban,76,America/Chicago,2,62,1,Boomers,23165.82,1,Married,1,Male,Yes,11.1,11.06361355,10,2,0,0,No,0,Month-to-month,0,No,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,10,Electronic Check,14.7,14.68600159,172.44,172.44408,1562.3,1562.32774,2,3,4,3,3,2,3,2
473,27,KY,278,Breathitt,22,2,Suburban,90,America/New_York,2,34,4,Millennials,13378.22,2,Never Married,1,Male,No,11.6,11.56147327,15,3,0,0,No,2,Two Year,0,No,1,Yes,,None,None,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,11,Mailed Check,4.1,4.135515169,117.49,117.485813,776.5,776.4780765,1,1,2,3,4,3,2,3
474,52,SD,1034,Meade,9054,2,Suburban,77,America/Denver,2,28,4,Millennials,5337.97,0,Divorced,0,Female,No,13.5,13.49663107,10,3,0,0,No,1,One year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,0,No,11,Mailed Check,9.1,9.086633107,159.97,159.965008,1118.6,1118.646915,2,3,4,3,4,4,4,2
475,37,NC,1671,Wilkes,2663,2,Suburban,90,America/New_York,2,26,4,Millennials,72490.86,1,Married,0,Female,Yes,7.6,7.581534683,15,0,0,0,No,0,Month-to-month,1,Yes,1,Yes,,#N/A,DSL,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,0,No,0,No,10,Electronic Check,9.5,9.493585403,167.48,167.484705,1781.7,1781.692875,3,3,2,2,4,4,3,3
476,46,OK,1347,Rogers,18185,1,Urban,76,America/Chicago,2,82,5,Post War,12476.24,4,Widowed,0,Female,Yes,10.7,10.67669456,13,2,0,0,No,0,Month-to-month,1,Yes,1,Yes,,#N/A,DSL,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,0,No,0,No,0,Bank Transfer(automatic),5.4,5.372758028,129.96,129.962093,1086.9,1086.92093,2,2,3,5,3,3,4,3
477,31,ME,1713,York,7530,1,Urban,90,America/New_York,1,59,1,Boomers,64584.13,0,Divorced,1,Male,No,11.7,11.74759925,13,0,0,0,No,1,One year,0,No,0,No,,None,None,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,11,Mailed Check,13.8,13.82188875,139.98,139.981577,1551.4,1551.398147,3,2,4,3,6,2,4,3
478,13,AZ,997,Maricopa,28759,3,Rural,94,America/Phoenix,6,46,2,GerX,32885.95,0,Divorced,1,Male,No,9,9.044025424,12,0,0,0,No,0,Month-to-month,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No,1,Yes,0,Bank Transfer(automatic),2.6,2.598489694,124.98,124.97808,573.8,573.751474,3,4,3,4,4,3,5,4
479,14,CA,1175,Orange,26744,3,Rural,88,America/Los_Angeles,1,44,2,GerX,80862.03,4,Widowed,1,Male,Yes,7.9,7.949846907,16,2,2,0,No,0,Month-to-month,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,11,Mailed Check,12.9,12.9401487,255.14,255.137219,1794.1,1794.116848,2,3,3,3,2,3,3,3
480,33,MN,755,Hennepin,20818,1,Urban,76,America/Chicago,4,56,2,GerX,49800.1,2,Never Married,1,Male,No,11.4,11.35513416,11,3,1,0,No,2,Two Year,1,Yes,0,No,,Fiber Optic,Fiber Optic,0,No,0,No,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,10,Electronic Check,5,4.957713222,230.11,230.105118,1103.6,1103.594576,5,4,4,5,4,3,4,4
481,54,TX,730,Hardin,10025,1,Urban,76,America/Chicago,10,32,4,Millennials,6958.83,2,Never Married,1,Male,No,7.5,7.524691972,11,0,0,1,Yes,2,Two Year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,1,Credit Card (automatic),28.8,28.79864005,182.46,182.460772,3143.2,3143.245184,1,2,2,3,2,2,4,3
482,38,ND,1304,Ransom,517,3,Rural,76,America/Chicago,2,50,2,GerX,19133.76,0,Divorced,1,Male,Yes,10,9.993073346,11,3,1,0,No,1,One year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Credit Card (automatic),7.2,7.176411327,255.16,255.155493,1381.8,1381.802291,6,5,5,3,3,4,3,4
483,12,AR,1369,Saline,4295,2,Suburban,76,America/Chicago,7,53,2,GerX,23413.1,4,Widowed,1,Male,No,11.4,11.38306511,11,3,0,0,No,2,Two Year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,0,Bank Transfer(automatic),5.7,5.709925704,172.46,172.457857,1091.1,1091.10126,4,4,4,3,4,4,3,3
484,14,CA,1002,Mariposa,882,1,Urban,88,America/Los_Angeles,1,84,5,Post War,11957.82,4,Widowed,1,Male,No,9.8,9.818276662,10,0,0,0,No,2,Two Year,0,No,0,No,,#N/A,DSL,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,No,0,No,0,Bank Transfer(automatic),4,3.956375328,137.48,137.483594,891.9,891.9472856,5,6,4,5,2,5,4,6
485,59,WI,1260,Polk,1920,3,Rural,76,America/Chicago,5,33,4,Millennials,31250.41,1,Married,1,Male,Yes,14.3,14.32006623,13,0,0,0,No,0,Month-to-month,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0,No,11,Mailed Check,1,1.033067819,167.46,167.456419,538.1,538.1168657,2,2,4,5,3,4,1,1
486,48,PA,328,Cambria,8819,3,Rural,90,America/New_York,3,29,4,Millennials,9487.91,3,Separated,0,Female,No,10,10.02701706,14,1,0,0,No,1,One year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,10,Electronic Check,2.2,2.206152519,127.5,127.495766,497.9,497.9042695,3,3,4,4,3,2,2,4
487,30,MD,543,Dorchester,2694,3,Rural,90,America/New_York,7,87,5,Post War,13533.47,1,Married,0,Female,Yes,12.7,12.67439697,16,2,1,1,Yes,1,One year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,10,Electronic Check,3.8,3.820262172,287.64,287.642733,1115.5,1115.476658,4,4,3,4,4,4,4,4
488,44,NY,1175,Orange,3878,3,Rural,90,America/New_York,3,34,4,Millennials,46533.08,3,Separated,0,Female,Yes,12,11.95689175,4,2,0,0,No,0,Month-to-month,0,No,0,No,,Fiber Optic,Fiber Optic,0,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,Bank Transfer(automatic),2.6,2.640977982,167.46,167.456419,522.7,522.7315686,3,2,4,3,2,2,3,3
489,14,CA,963,Los Angeles,27454,2,Suburban,88,America/Los_Angeles,3,34,4,Millennials,47946.16,3,Separated,0,Female,No,16.2,16.23914454,12,1,0,0,No,0,Month-to-month,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Credit Card (automatic),5.6,5.622660986,164.99,164.988941,961.6,961.5888385,6,5,4,2,4,5,4,2
490,48,PA,129,Allegheny,180,2,Suburban,90,America/New_York,1,28,4,Millennials,14393.72,3,Separated,1,Male,Yes,12.6,12.55052929,16,3,0,1,Yes,2,Two Year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,11,Mailed Check,1.6,1.634394387,242.63,242.632554,883.9,883.9008134,3,1,3,3,2,3,2,3
491,24,IL,813,Iroquois,294,1,Urban,76,America/Chicago,2,68,1,Boomers,4102.64,3,Separated,1,Male,Yes,13.7,13.71586929,13,2,1,0,No,0,Month-to-month,0,No,0,No,,None,None,0,No,0,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,10,Electronic Check,2,2.012075635,130.01,130.006414,565.3,565.3167155,4,4,3,3,3,4,4,3
492,11,AL,909,Lamar,2958,1,Urban,76,America/Chicago,0,26,4,Millennials,11249.18,0,Divorced,1,Male,Yes,8.9,8.90345193,14,0,1,1,Yes,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0,No,0,Bank Transfer(automatic),10.1,10.06913982,257.64,257.63748,2062.6,2062.605873,4,5,3,2,4,2,5,3
493,36,MT,216,Beaverhead,321,1,Urban,77,America/Denver,0,61,1,Boomers,18684.74,0,Divorced,1,Male,No,11.7,11.70304454,14,1,1,0,No,0,Month-to-month,0,No,0,No,,#N/A,DSL,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,Bank Transfer(automatic),6.9,6.935335786,129.98,129.977753,1197.1,1197.080651,4,5,3,4,4,4,4,5
494,19,FL,759,Hernando,8778,2,Suburban,90,America/New_York,4,79,5,Post War,75276.52,0,Divorced,1,Male,No,3.6,3.602721856,12,0,0,0,No,2,Two Year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,10,Electronic Check,15.6,15.56741347,232.62,232.622804,1972.7,1972.725118,5,5,4,5,3,3,4,5
495,39,NE,142,Antelope,361,2,Suburban,76,America/Chicago,1,49,2,GerX,78129.73,3,Separated,0,Female,No,5.2,5.21028807,8,0,0,0,No,1,One year,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,0,No,0,No,1,Credit Card (automatic),12.8,12.75071284,182.47,182.467607,1427.3,1427.321538,4,3,3,1,5,3,3,2
496,59,WI,1425,Shawano,93,3,Rural,76,America/Chicago,3,85,5,Post War,97761.18,1,Married,0,Female,Yes,9.4,9.442505655,11,1,0,0,No,0,Month-to-month,0,No,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,1,Yes,11,Mailed Check,8.6,8.573785357,220.13,220.132293,1218.1,1218.124487,5,5,5,4,3,4,5,5
497,58,WA,1460,Spokane,20943,3,Rural,88,America/Los_Angeles,0,25,3,GerZ,20789.86,1,Married,1,Male,Yes,2.8,2.760749024,16,1,0,0,No,1,One year,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Credit Card (automatic),13.9,13.86188691,252.64,252.637807,1874.8,1874.789062,5,5,6,4,3,5,5,3
498,39,NE,633,Gage,110,2,Suburban,76,America/Chicago,0,19,3,GerZ,34038.71,0,Divorced,1,Male,Yes,13.2,13.2491569,11,0,0,0,No,0,Month-to-month,1,Yes,1,Yes,,#N/A,DSL,1,Yes,0,No,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,0,No,0,Bank Transfer(automatic),10.8,10.77929667,142.45,142.452604,1806,1806.007164,4,5,4,4,4,6,3,3
499,13,AZ,997,Maricopa,34488,2,Suburban,94,America/Phoenix,0,28,4,Millennials,16051.94,3,Separated,0,Female,No,13.5,13.4911859,15,0,0,0,No,1,One year,0,No,0,No,,#N/A,DSL,1,Yes,0,No,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,10,Electronic Check,16.9,16.88097916,94.97,94.972827,1939.6,1939.600904,3,3,2,4,3,3,5,4
500,45,OH,1688,Wood,1096,3,Rural,90,America/New_York,0,86,5,Post War,24266.04,3,Separated,1,Male,Yes,7.8,7.779828793,15,0,0,0,No,2,Two Year,1,Yes,0,No,,#N/A,DSL,1,Yes,0,No,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,11,Mailed Check,16.9,16.92163398,210.11,210.105118,2275.9,2275.888923,1,2,2,4,3,2,3,2
501,48,PA,1512,Susquehanna,5549,3,Rural,90,America/New_York,0,54,2,GerX,28712.86,4,Widowed,0,Female,No,10.7,10.68579941,13,1,0,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,1,Credit Card (automatic),11.9,11.91663193,92.46,92.455141,1372.4,1372.385193,5,4,5,4,5,5,4,5
502,43,NV,978,Lyon,7278,3,Rural,88,America/Los_Angeles,2,28,4,Millennials,18966.81,3,Separated,1,Male,Yes,9.9,9.905787776,16,1,0,1,Yes,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,1,Yes,1,Yes,0,No,1,Yes,0,No,11,Mailed Check,2.8,2.81822785,194.97,194.969934,785.6,785.6266383,3,4,3,3,3,4,6,3
503,54,TX,909,Lamar,1204,2,Suburban,76,America/Chicago,2,25,3,GerZ,67530.44,0,Divorced,1,Male,No,11.6,11.62388139,14,1,0,1,Yes,2,Two Year,0,No,0,No,,#N/A,DSL,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,11,Mailed Check,5.1,5.100566529,129.98,129.977753,1226.3,1226.343895,4,4,3,4,4,4,2,4
504,22,IA,1499,Story,955,2,Suburban,76,America/Chicago,4,81,5,Post War,38866.92,3,Separated,0,Female,Yes,12.2,12.19296315,10,1,1,0,No,2,Two Year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,1,Yes,0,No,0,Bank Transfer(automatic),4.8,4.806882153,242.63,242.628057,1047.4,1047.361909,3,4,3,3,3,2,3,2
505,48,PA,250,Blair,2453,2,Suburban,90,America/New_York,2,89,5,Post War,44314.39,4,Widowed,1,Male,Yes,6.9,6.892345443,15,1,0,0,No,2,Two Year,0,No,0,No,,Fiber Optic,Fiber Optic,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,0,No,1,Yes,0,No,10,Electronic Check,5.7,5.658327457,197.49,197.48762,893.5,893.5446642,3,2,3,4,3,3,3,3
506,24,IL,1638,Washington,159,3,Rural,76,America/Chicago,0,62,1,Boomers,26929.55,3,Separated,0,Female,Yes,8.5,8.482252615,14,0,0,0,No,0,Month-to-month,0,No,1,Yes,,#N/A,DSL,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,10,Electronic Check,2.6,2.649525158,242.61,242.610632,1210,1210.047397,4,4,3,4,2,4,5,3
507,37,NC,1140,Northampton,2876,3,Rural,90,America/New_York,1,31,4,Millennials,50643.95,0,Divorced,0,Female,No,9.2,9.179212931,10,1,2,0,No,1,One year,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,1,Yes,0,No,0,No,1,Yes,0,No,1,Yes,10,Electronic Check,18.8,18.76976086,139.93,139.934918,2329.9,2329.912456,4,3,4,3,4,3,4,4
508,19,FL,1509,Sumter,1394,2,Suburban,90,America/New_York,3,48,2,GerX,4803.58,4,Widowed,0,Female,No,9.3,9.321060469,10,0,0,0,No,0,Month-to-month,1,Yes,1,Yes,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Bank Transfer(automatic),13,13.04542381,112.46,112.455141,1163.4,1163.407505,4,3,3,5,3,4,3,3
509,12,AR,448,Conway,2144,1,Urban,76,America/Chicago,1,22,3,GerZ,21278.71,2,Never Married,1,Male,Yes,13.2,13.24354261,7,1,0,0,No,0,Month-to-month,1,Yes,0,No,,None,None,1,Yes,1,Yes,0,No,1,Yes,1,Yes,0,No,0,No,1,Yes,0,No,11,Mailed Check,1.5,1.534192133,182.49,182.490006,736.9,736.9303356,4,4,4,4,4,3,3,3
510,45,OH,1688,Wood,502,3,Rural,90,America/New_York,0,22,3,GerZ,16874.68,0,Divorced,0,Female,No,14.7,14.7376853,11,0,0,0,No,0,Month-to-month,0,No,0,No,,None,None,1,Yes,1,Yes,1,Yes,0,No,0,No,0,No,0,No,1,Yes,0,No,11,Mailed Check,9,9.039309605,149.99,149.988989,1134.9,1134.880009,3,3,4,1,5,2,2,4
511,43,NV,1640,Washoe,12695,3,Rural,88,America/Los_Angeles,2,20,3,GerZ,20314.7,4,Widowed,0,Female,No,7.8,7.766411994,10,0,0,0,No,0,Month-to-month,1,Yes,0,No,,#N/A,DSL,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,10,Electronic Check,10.2,10.15330548,107.5,107.495766,1561.3,1561.294194,3,3,4,4,3,4,5,3
512,53,TN,655,Giles,2494,1,Urban,76,America/Chicago,1,58,1,Boomers,146494.7,3,Separated,1,Male,No,9.3,9.256391341,14,2,0,0,No,1,One year,0,No,0,No,,#N/A,DSL,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,1,Credit Card (automatic),8.8,8.792119046,92.46,92.455141,1216.3,1216.325478,3,3,3,3,4,4,3,4
513,45,OH,708,Guernsey,19592,1,Urban,90,America/New_York,0,81,5,Post War,28908.4,3,Separated,1,Male,Yes,8.3,8.27152774,13,0,1,0,No,1,One year,0,No,1,Yes,,#N/A,DSL,1,Yes,0,No,1,Yes,1,Yes,1,Yes,0,No,1,Yes,1,Yes,1,Yes,10,Electronic Check,1.5,1.542556879,225.15,225.145743,1192.5,1192.502878,1,3,4,3,3,3,3,3
514,49,PR,1261,Ponce,12722,2,Suburban,95,America/Puerto_Rico,0,26,4,Millennials,159315.5,0,Divorced,0,Female,Yes,10.1,10.08608649,13,0,1,1,Yes,0,Month-to-month,1,Yes,1,Yes,,#N/A,DSL,1,Yes,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,0,No,10,Electronic Check,13.7,13.65776694,232.62,232.62403,2140.4,2140.402985,4,5,3,4,3,5,4,4
515,10,AK,1136,Nome,473,2,Suburban,91,America/Nome,0,89,5,Post War,47370.85,4,Widowed,1,Male,Yes,7,6.964656883,10,0,1,0,No,1,One year,1,Yes,0,No,,None,None,1,Yes,1,Yes,0,No,0,No,0,No,0,No,1,Yes,1,Yes,0,No,10,Electronic Check,5.2,5.165404738,207.64,207.638588,867.2,867.2394016,4,3,2,4,3,5,4,5
516,60,WV,605,Fayette,168,3,Rural,90,America/New_York,1,59,1,Boomers,59158.79,0,Divorced,1,Male,Yes,7.5,7.514067308,15,2,0,1,Yes,0,Month-to-month,0,No,1,Yes,,None,None,1,Yes,0,No,0,No,0,No,0,No,0,No,1,Yes,1,Yes,1,Yes,11,Mailed Check,13.2,13.17859958,175.13,175.133074,1581,1581.016214,2,3,2,2,3,2,3,1
517,25,IN,917,LaPorte,793,2,Suburban,76,America/Chicago,0,75,1,Boomers,39802.79,3,Separated,1,Male,Yes,3.3,3.262720061,16,0,1,0,No,1,One year,0,No,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,1,Yes,0,No,0,Bank Transfer(automatic),1.6,1.557206083,242.63,242.628057,724.7,724.6774743,4,3,4,4,4,4,4,3
518,54,TX,1316,Refugio,440,2,Suburban,76,America/Chicago,5,35,4,Millennials,50195.66,3,Separated,0,Female,No,13.7,13.69828326,11,0,0,0,No,0,Month-to-month,1,Yes,0,No,,Fiber Optic,Fiber Optic,1,Yes,0,No,1,Yes,1,Yes,0,No,1,Yes,0,No,1,Yes,0,No,10,Electronic Check,7.2,7.226076469,184.96,184.964681,1124,1123.971139,3,5,4,4,2,5,3,4
519,44,NY,1178,Orleans,2905,2,Suburban,90,America/New_York,1,28,4,Millennials,52946.65,2,Never Married,1,Male,No,8.4,8.363844619,10,1,0,0,No,0,Month-to-month,0,No,0,No,,#N/A,DSL,1,Yes,1,Yes,0,No,1,Yes,0,No,0,No,0,No,1,Yes,0,No,10,Electronic Check,20.9,20.91720893,182.44,182.443347,2633.8,2633.809472,4,4,3,3,2,5,3,4
520,10,AK,1139,North Slope,508,3,Rural,74,America/Anchorage,3,48,2,GerX,7681.82,2,Never Married,0,Female,Yes,11.3,11.34885042,10,0,0,0,No,0,Month-to-month,0,No,0,No,,None,None,1,Yes,0,No,0,No,0,No,1,Yes,0,No,1,Yes,0,No,1,Yes,11,Mailed Check,7.2,7.228526307,117.49,117.485813,967.7,967.7426094,2,2,3,5,2,3,3,5
521,45,OH,757,Henry,719,1,Urban,90,America/New_York,1,29,4,Millennials,17876.13,0,Divorced,1,Male,No,11.8,11.81880212,13,0,1,0,No,2,Two Year,1,Yes,0,No,,None,None,1,Yes,0,No,0,No,0,No,1,Yes,1,Yes,0,No,1,Yes,1,Yes,10,Electronic Check,20.4,20.43854626,140,139.99789,2101.3,2101.344074,3,4,4,3,4,3,2,3
